NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Estrangeiras;2014;74750;171;Longo Curso;BULGÁRIA;2
Não Informado;2014;111;345;Longo Curso;BULGÁRIA;2
Brasilieiras;2014;808;604;Longo Curso;BULGÁRIA;2
Brasilieiras;2014;350893;809;Longo Curso;CHILE;2
Estrangeiras;2014;1278401;1;Longo Curso;CHILE;2
Não Informado;2014;10285;072;Longo Curso;CHILE;2
Estrangeiras;2014;213057369;3949;Longo Curso;CHINA;2
Brasilieiras;2014;3099346;484;Longo Curso;CHINA;2
Não Informado;2014;515037;49;Longo Curso;CHINA;2
Estrangeiras;2014;6017487;4560001;Longo Curso;ALEMANHA;2
Brasilieiras;2014;556365;719;Longo Curso;ALEMANHA;2
Não Informado;2014;33229;495;Longo Curso;ALEMANHA;2
